<<<<<<< HEAD
Ticker,Company Name,Fiscal Quarter,Datetime,Date,Time,Hour,Close,Earnings Date,Earnings Timing,Base Price,Hours From Earnings,Trading Day,Return From Earnings (%)
BKV,BKV Corporation,Q3 FY25,2025-11-11 12:30:00,2025-11-11,12:30,12,27.47,2025-11-10,BMO,25.42,93.0,2,8.04
BKV,BKV Corporation,Q3 FY25,2025-11-11 13:30:00,2025-11-11,13:30,13,27.16,2025-11-10,BMO,25.42,94.0,2,6.85
BKV,BKV Corporation,Q3 FY25,2025-11-11 14:30:00,2025-11-11,14:30,14,27.3,2025-11-10,BMO,25.42,95.0,2,7.4
BKV,BKV Corporation,Q3 FY25,2025-11-11 15:30:00,2025-11-11,15:30,15,27.23,2025-11-10,BMO,25.42,96.0,2,7.12
BKV,BKV Corporation,Q3 FY25,2025-11-12 09:30:00,2025-11-12,09:30,9,26.93,2025-11-10,BMO,25.42,114.0,3,5.96
BKV,BKV Corporation,Q3 FY25,2025-11-12 10:30:00,2025-11-12,10:30,10,26.53,2025-11-10,BMO,25.42,115.0,3,4.37
BKV,BKV Corporation,Q3 FY25,2025-11-12 11:30:00,2025-11-12,11:30,11,26.43,2025-11-10,BMO,25.42,116.0,3,3.97
BKV,BKV Corporation,Q3 FY25,2025-11-12 12:30:00,2025-11-12,12:30,12,26.48,2025-11-10,BMO,25.42,117.0,3,4.15
BKV,BKV Corporation,Q3 FY25,2025-11-12 13:30:00,2025-11-12,13:30,13,26.58,2025-11-10,BMO,25.42,118.0,3,4.56
BKV,BKV Corporation,Q3 FY25,2025-11-12 14:30:00,2025-11-12,14:30,14,26.53,2025-11-10,BMO,25.42,119.0,3,4.38
BKV,BKV Corporation,Q3 FY25,2025-11-12 15:30:00,2025-11-12,15:30,15,26.59,2025-11-10,BMO,25.42,120.0,3,4.6
BKV,BKV Corporation,Q3 FY25,2025-11-13 09:30:00,2025-11-13,09:30,9,27.28,2025-11-10,BMO,25.42,138.0,4,7.32
BKV,BKV Corporation,Q3 FY25,2025-11-13 10:30:00,2025-11-13,10:30,10,27.2,2025-11-10,BMO,25.42,139.0,4,7.0
BKV,BKV Corporation,Q3 FY25,2025-11-13 11:30:00,2025-11-13,11:30,11,27.24,2025-11-10,BMO,25.42,140.0,4,7.16
BKV,BKV Corporation,Q3 FY25,2025-11-13 12:30:00,2025-11-13,12:30,12,27.09,2025-11-10,BMO,25.42,141.0,4,6.57
BKV,BKV Corporation,Q3 FY25,2025-11-13 13:30:00,2025-11-13,13:30,13,26.96,2025-11-10,BMO,25.42,142.0,4,6.06
BKV,BKV Corporation,Q3 FY25,2025-11-13 14:30:00,2025-11-13,14:30,14,26.65,2025-11-10,BMO,25.42,143.0,4,4.84
BKV,BKV Corporation,Q3 FY25,2025-11-13 15:30:00,2025-11-13,15:30,15,26.6,2025-11-10,BMO,25.42,144.0,4,4.64
BKV,BKV Corporation,Q3 FY25,2025-11-14 09:30:00,2025-11-14,09:30,9,27.12,2025-11-10,BMO,25.42,162.0,5,6.69
BKV,BKV Corporation,Q3 FY25,2025-11-14 10:30:00,2025-11-14,10:30,10,27.67,2025-11-10,BMO,25.42,163.0,5,8.85
BKV,BKV Corporation,Q3 FY25,2025-11-14 11:30:00,2025-11-14,11:30,11,27.94,2025-11-10,BMO,25.42,164.0,5,9.91
BKV,BKV Corporation,Q3 FY25,2025-11-14 12:30:00,2025-11-14,12:30,12,28.08,2025-11-10,BMO,25.42,165.0,5,10.44
BKV,BKV Corporation,Q3 FY25,2025-11-14 13:30:00,2025-11-14,13:30,13,27.9,2025-11-10,BMO,25.42,166.0,5,9.76
BKV,BKV Corporation,Q3 FY25,2025-11-14 14:30:00,2025-11-14,14:30,14,27.99,2025-11-10,BMO,25.42,167.0,5,10.11
BKV,BKV Corporation,Q3 FY25,2025-11-14 15:30:00,2025-11-14,15:30,15,27.94,2025-11-10,BMO,25.42,168.0,5,9.91
BL,"BlackLine, Inc.",Q3 FY25,2025-11-07 09:30:00,2025-11-07,09:30,9,54.47,2025-11-06,AMC,56.81,18.0,1,-4.12
BL,"BlackLine, Inc.",Q3 FY25,2025-11-07 10:30:00,2025-11-07,10:30,10,55.38,2025-11-06,AMC,56.81,19.0,1,-2.53
BL,"BlackLine, Inc.",Q3 FY25,2025-11-07 11:30:00,2025-11-07,11:30,11,55.62,2025-11-06,AMC,56.81,20.0,1,-2.09
BL,"BlackLine, Inc.",Q3 FY25,2025-11-07 12:30:00,2025-11-07,12:30,12,55.04,2025-11-06,AMC,56.81,21.0,1,-3.12
BL,"BlackLine, Inc.",Q3 FY25,2025-11-07 13:30:00,2025-11-07,13:30,13,53.96,2025-11-06,AMC,56.81,22.0,1,-5.02
BL,"BlackLine, Inc.",Q3 FY25,2025-11-07 14:30:00,2025-11-07,14:30,14,53.62,2025-11-06,AMC,56.81,23.0,1,-5.62
BL,"BlackLine, Inc.",Q3 FY25,2025-11-07 15:30:00,2025-11-07,15:30,15,53.58,2025-11-06,AMC,56.81,24.0,1,-5.69
BL,"BlackLine, Inc.",Q3 FY25,2025-11-10 09:30:00,2025-11-10,09:30,9,54.78,2025-11-06,AMC,56.81,90.0,2,-3.57
BL,"BlackLine, Inc.",Q3 FY25,2025-11-10 10:30:00,2025-11-10,10:30,10,54.59,2025-11-06,AMC,56.81,91.0,2,-3.91
BL,"BlackLine, Inc.",Q3 FY25,2025-11-10 11:30:00,2025-11-10,11:30,11,54.6,2025-11-06,AMC,56.81,92.0,2,-3.89
BL,"BlackLine, Inc.",Q3 FY25,2025-11-10 12:30:00,2025-11-10,12:30,12,54.48,2025-11-06,AMC,56.81,93.0,2,-4.1
